#Zeit; y_1
15,13;4,3149383
15,14;4,314937698
15,15;4,314937112
15,16;4,314936541
15,17;4,314935985
15,18;4,314935443
15,19;4,314934916
15,2;4,314934403
15,21;4,314933904
15,22;4,31493342
15,23;4,314932949
15,24;4,314932492
15,25;4,314932049
15,26;4,31493162
15,27;4,314931204
15,28;4,314930801
15,29;4,314930411
15,3;4,314930034
15,31;4,31492967
15,32;4,314929319
15,33;4,31492898
15,34;4,314928654
15,35;4,31492834
15,36;4,314928038
15,37;4,314927748
15,38;4,31492747
15,39;4,314927203
15,4;4,314926949
15,41;4,314926706
15,42;4,314926474
15,43;4,314926253
15,44;4,314926044
15,45;4,314925845
15,46;4,314925657
15,47;4,31492548
15,48;4,314925314
15,49;4,314925158
15,5;4,314925012
15,51;4,314924876
15,52;4,314924751
15,53;4,314924635
15,54;4,31492453
15,55;4,314924433
15,56;4,314924347
15,57;4,31492427
15,58;4,314924202
15,59;4,314924143
15,6;4,314924094
15,61;4,314924053
15,62;4,314924021
15,63;4,314923998
15,64;4,314923984
15,65;4,314923978
15,66;4,31492398
15,67;4,31492399
15,68;4,314924009
15,69;4,314924036
15,7;4,31492407
15,71;4,314924113
15,72;4,314924163
15,73;4,31492422
15,74;4,314924285
15,75;4,314924357
15,76;4,314924437
15,77;4,314924523
15,78;4,314924617
15,79;4,314924717
15,8;4,314924825
15,81;4,314924939
15,82;4,314925059
15,83;4,314925186
15,84;4,314925319
15,85;4,314925459
15,86;4,314925605
15,87;4,314925757
15,88;4,314925914
15,89;4,314926078
15,9;4,314926247
15,91;4,314926422
15,92;4,314926603
15,93;4,314926789
15,94;4,31492698
15,95;4,314927177
15,96;4,314927378
15,97;4,314927585
15,98;4,314927797
15,99;4,314928014
16;4,314928235
16,01;4,314928461
16,02;4,314928692
16,03;4,314928927
16,04;4,314929167
16,05;4,314929411
16,06;4,31492966
16,07;4,314929912
16,08;4,314930169
16,09;4,314930429
16,1;4,314930694
16,11;4,314930962
16,12;4,314931234
16,13;4,314931509
16,14;4,314931789
16,15;4,314932071
16,16;4,314932358
16,17;4,314932647
16,18;4,31493294
16,19;4,314933236
16,2;4,314933535
16,21;4,314933837
16,22;4,314934142
16,23;4,314934449
16,24;4,31493476
16,25;4,314935073
16,26;4,314935389
16,27;4,314935708
16,28;4,314936029
16,29;4,314936352
16,3;4,314936678
16,31;4,314937006
16,32;4,314937337
16,33;4,314937669
16,34;4,314938004
16,35;4,31493834
16,36;4,314938679
16,37;4,314939019
16,38;4,314939362
16,39;4,314939706
16,4;4,314940051
16,41;4,314940399
16,42;4,314940748
16,43;4,314941098
16,44;4,31494145
16,45;4,314941803
16,46;4,314942158
16,47;4,314942514
16,48;4,314942871
16,49;4,314943229
16,5;4,314943588
16,51;4,314943949
16,52;4,31494431
16,53;4,314944672
16,54;4,314945035
16,55;4,314945399
16,56;4,314945764
16,57;4,31494613
16,58;4,314946496
16,59;4,314946863
16,6;4,31494723
16,61;4,314947598
16,62;4,314947966
16,63;4,314948335
16,64;4,314948704
16,65;4,314949073
16,66;4,314949443
16,67;4,314949813
16,68;4,314950183
16,69;4,314950554
16,7;4,314950924
16,71;4,314951295
16,72;4,314951665
16,73;4,314952036
16,74;4,314952406
16,75;4,314952776
16,76;4,314953146
16,77;4,314953516
16,78;4,314953886
16,79;4,314954256
16,8;4,314954625
16,81;4,314954994
